post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,119,56,DamnInteresting,2026-04-10 12:50:15.622285,0.4666666666666667,False
47715460,Show HN: Hindsight Simulator – Go back in time and get rich,entertainment,9,3,pattle,2026-04-10 12:50:17.215807,0.3,False
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,144,66,willmeyers,2026-04-10 12:50:17.657056,0.45517241379310347,False
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,139,156,latchkey,2026-04-10 12:50:18.403706,1.1142857142857143,False
47705802,Show HN: Mdpdf a 2k line C CLI to convert Markdown to tiny PDFs,entertainment,9,4,bastscho,2026-04-10 12:50:18.979725,0.4,False
47710713,"Show HN: Linear RNN/Reservoir hybrid generative model, one C file (no deps.)",entertainment,7,2,adinhitlore,2026-04-10 12:50:19.236966,0.25,False
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,63,19,meribold,2026-04-10 12:50:19.298110,0.296875,False
47696562,Show HN: Is Hormuz open yet?,entertainment,462,204,anonfunction,2026-04-10 12:50:19.559288,0.4406047516198704,True
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,782,235,sam-bee,2026-04-10 12:50:20.394245,0.3001277139208174,True
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,61,12,rvitorper,2026-04-10 12:50:20.467283,0.1935483870967742,False
47657204,Show HN: We built a camera only robot vacuum for less than $300 (well almost),entertainment,106,55,indraneelpatil,2026-04-10 12:50:20.599116,0.514018691588785,False
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,55,25,vkatluri,2026-04-10 12:50:21.077487,0.44642857142857145,False
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,288,69,frasermarlow,2026-04-10 12:50:23.250850,0.23875432525951557,True
47704260,Show HN: Zoneless – Open-source Stripe Connect clone with $0.002 fees using USDC,entertainment,14,6,tinyprojects,2026-04-10 12:50:23.698973,0.4,False
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,230,28,MediaSquirrel,2026-04-10 12:50:24.160448,0.12121212121212122,True
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,466,199,MattHart88,2026-04-10 12:50:24.709219,0.4261241970021413,True
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-10 12:50:25.013800,0.1901840490797546,False
47705780,Show HN: BrokenClaw Part 5: GPT-5.4 Edition (Prompt Injection),entertainment,9,2,veganmosfet,2026-04-10 12:50:25.239716,0.2,False
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-10 12:50:27.231638,0.16831683168316833,False
